rose water	104117162
rose window	104117272
rose wine	107909228
rose-apple tree	112352735
rose-cheeked	301174367
rose-colored	300401705 301668621
rose-colored pastor	101580099
rose-colored starling	101580099
rose-lavender	300383473
rose-lilac	300383473
rose-mauve	300383574
rose-purple	300383656
rose-red	300383383
rose-root	112807033
rose-tinged	300383755
rose-tinted	300383755
roseate	300383235
roseate spoonbill	102009938
roseau	108781220
rosebay	112265167
rosebay willowherb	112363015
rosebud	110558717 111695476
rosebud cherry	112670799
rosebud orchid	112072261
rosebush	112640957
rosefish	102647447 107808093
rosehip	112641307
roselle	112200149
rosellinia	112987884
rosemaling	104116796
rosemary	107836121 112884920
roseola	114345380
roseola infantilis	114147241
roseola infantum	114147241
rosetta stone	106417534
rosette	104116993 104117272 113182896 114305051
rosewood	112542693 112542998
rosewood tree	112542693
rosh chodesh	115207920
rosh hashana	115207640
rosh hashanah	115207640
rosh hashona	115207640
rosh hashonah	115207640
rosh hodesh	115207920
rosicrucian	110558835 110559019 303153690
rosicrucianism	106201218
rosid dicot family	111587133
rosid dicot genus	111605791
rosidae	112233327
rosilla	111998356
rosin	114918291 201253240
rosin bag	104117375
rosiness	104978580 104984679 114074353
rosinweed	111993810 112035690
rosita	112311492
rosmarinus	112884798
rosmarinus officinalis	112884920
ross	111290567 111290762 111290938 111291084 111291339
ross sea	109440118
rossbach	101295421
rossetti	111291553
rossini	111291710
rostand	111291849
roster	106506991
rostock	108792537
rostov	109031860
rostov na donu	109031860
rostov on don	109031860
rostrate	300208626
rostrum	102455444 103164306
roswell	109138874
rosy	300177959 300372673 301174367 301668621
rosy boa	101745462
rosy-cheeked	301174367
rosy-colored	300401705
rosy-purple	300383656
rot	106624034 113479192 114584518 200093529 200210263
rot-resistant	301779745
rota	106508853 108352341
rotarian	110559173
rotary	104382492 104473168 300679539 303010069
rotary actuator	104117533
rotary club	108253172
rotary converter	104382492
rotary engine	104046849 104117748
rotary international	108253172
rotary joint	105604943
rotary motion	100342854
rotary press	104117935
rotary wing	104119346
rotatable	301528564
rotate	200246799 201098716 202048992 202049364 202049739 202399036
rotated	302477333
rotating mechanism	104118049
rotating shaft	104118284
rotation	100342854 105052532 107455579 113807769
rotational	303124047
rotational latency	115322312
rotational nystagmus	100338914
rotationally	400446868
rotator cuff	105612705
rotatory	302951256
rotatory joint	105604943
rotavirus	101343731
rotc	108229841
rote	105763390
rote learning	105763390
rotenone	115037045
rotgut	107938752
roth	111292020
rothko	111292188
rothschild	111292405
rotifer	101931827
rotifera	101931688
rotisserie	104118508 104118625
rotl	113741051
rotogravure	101105397 106277626 106692053
rotor	104118762 104119056 104119241
rotor blade	104119346
rotor coil	104119056
rotor head	104119524
rotor shaft	104119524
rotted	302283641
rotten	301074208 301131613 302283641
rotten borough	108557979
rottenly	400055639
rottenness	104798804 114584694
rottenstone	114960612
rotter	110559272
rotterdam	108970680
rotting	113479192
rottweiler	102109202
rotund	300990368 301460294 302054916
