yellowwood tree	111671009
yelp	107415152 201050043
yelping	107415152
yemen	109187354
yemeni	109770101 303142630
yemeni fils	113719726
yemeni monetary unit	113719485
yemeni rial	113719610
yen	107502062 113731805 201809651
yenisei	106972672 109505460
yenisei river	109505460
yenisei-samoyed	106972672
yeniseian	106972672 109727643
yenisey	109505460
yenisey river	109505460
yenta	110822886 110823067
yeoman	110823190 110823295
yeoman of the guard	110823295
yeomanry	108232910 108263423
yerba buena	112877964
yerba mansa	113173116
yerba santa	112856526
yerevan	109040400
yerkes	111422622
yersin	111422797
yersinia pestis	101353342
yerupaja	109505696
yerwa-maiduguri	108997188
yes	107218560
yes-man	110117861
yes-no question	107210629
yeshiva	108294953
yeshivah	108294953
yesterday	115181147 115287949 400510249 400510352
yesteryear	115145765
yet	400018101 400027761 400028191 400028314 400028594 400048179
yeti	109510382
yevgeni aleksandrovich yevtushenko	111423011
yevgeni yevtushenko	111423011
yevtushenko	111423011
yew	111681823 111682158
yew family	111681430
yezo	108940495
ygdrasil	109607900
yggdrasil	109607900
yhvh	109561429
yhwh	109561429
yi	106945725
yib	113653625
yibit	113654067
yid	109701518
yiddish	106963829
yield	100916463 104620079 113281089 113780885 200436056 200806138 200807711 201118865 201452389 201632192 201632595 201852407 202296669 202321629 202344167 202626546 202709149
yield up	202240331
yielder	110699445
yielding	107190894 107269695 301030167 301158003 302337212
yieldingly	400318413
yin	105924178
yip	107415152 201050043
yips	114399902
yisrael	108810400
ylang-ylang	111716443
ylem	114606205
ymir	109608108
yo-yo	104620912
yob	109898763
yobbo	109898763
yobibit	113654067
yobibyte	113653625
yobo	109898763
yodel	107138418 201052523
yodeling	101258711
yodeller	110823442
yodh	106850729
yoga	100632200 106249497
yogacara	106252910
yoghourt	107865312
yoghurt	107865312
yogi	110823582 110868542
yogi berra	110868542
yogic	302997336
yogistic	302997336
yogurt	107865312
yoke	104620197 104620372 104620515 104620707 108247986 113765745 114020394 201493615 201494709 201494940
yokel	110823706
yokel-like	300443647
yokelish	301957679
yoko ono	111235195
yokohama	108944011
yokuts	106937436 109692545
yolk	101467485 107857321
yolk sac	101467687 101467884
yom kippur	115210306
yom kippur war	101305174
yon	300448792 400082658
yonder	300448792 400082658
yore	115146030
york	108176823
yorkshire	108905438
yorkshire fog	112143242
yorkshire pudding	107706330
yorkshire terrier	102097085
yorktown	101302733 109175325
yoruba	107010028 109757624
yosemite	109505845
yosemite falls	109505845
yosemite national park	108628203
yosemite toad	101649821
yottabit	113653922
yottabyte	113653625 113653781
you bet	400153403
you said it	400153403
you-drive	113269497
young	101324070 107960326 111423216 111423452 111423596 111423688 111423824 111424136 111424276 300821577 300941001 301647922 301651383 301654162
young bird	101616256
young buck	110823891
young carnivore	101325176
young fish	102516191
young girl	110267055
young lady	110149362
young mammal	101324345
young man	110823891
young person	110824010
young turk	110824240 110824336
young woman	110149362
young's modulus	113609700
young-bearing	301481660
young-begetting	301481018
younger	302108662
youngish	301654093
youngness	104935593
youngster	109937051
youngstown	109154233
younker	110824010
youth	104935762 107960326 110824010 114449257 115172673 115290845
youth crusade	100802938
youth culture	108306010
youth gang	108261668
youth hostel	103546717
youth movement	100802938
youth subculture	108306370
youth-on-age	112825112
youthful	301654162
youthfully	400499860
youthfulness	104935762
yowl	107136069 200916587 201049253
ypres	101302999 101303273 101303571
yquem	107915874
yr	115228587
ytterbite	114699730
ytterbium	114685661
yttrium	114685919
yuan	108177045 113732097
yuan dynasty	108177045
yucatan	108757855 108758063
yucatan peninsula	108757855
yucatec	106938694 109692668
yucateco	106938694 109692668
yucca	112502536
yucca aloifolia	112502942
yucca baccata	112503173
yucca brevifolia	112503398
yucca carnerosana	112503596
yucca elata	112503787
yucca filamentosa	112503932
yucca glauca	112504130
yucca gloriosa	112504346
yucca smalliana	112504534
yucca whipplei	112504749
yucky	301630074
yue	106943204
yue dialect	106943204
yugoslav	109770222 302973558
yugoslavia	108833365 108834088
yugoslavian	109770222 302973558
yugoslavian dinar	113693287
yugoslavian monetary unit	113693152
yukawa	111424398
yukon	108849448 109506046
yukon river	109506046
yukon territory	108849448
yukon time	115157817
yukon white birch	112303912
yule	115221372
yule log	115125626
yuletide	115221372
yuma	106936269 109081588 109692796
yuman	106934822 303157290
yummy	302405305
yunnan	108744296
yunnan province	108744296
yuppie	110824527
yurak-samoyed	106972528
yuri alekseyevich gagarin	111006862
yuri gagarin	111006862
yurt	104621053
yves tanguy	111351058
z	106846940 107369614
z-axis	106018782
zaar	106996076
zabaglione	107637106
zabrze	109006827
zacharias	106452865 111425315
zachary taylor	111353232
zaftig	300990165
zag	113910012
zaglossus	101875276
zagreb	108836980
zaharias	111424662
zaire	108752218 113732548
zaire river	109274984
zairean	109770953 303142784
zairese	109770953 303142784
zairese monetary unit	113732422
zakat	105923445
zalcitabine	103195447
zalophus	102081088
zalophus californianus	102081226
zalophus californicus	102081226
zalophus lobatus	102081390
zama	101303914
zaman	111780322
zamang	111780322
zambezi	109506259
zambezi river	109506259
zambia	109188406
zambian	109771103 303142999
zambian kwacha	113705683
zambian monetary unit	113705556
zamboni	104621296
zamboorak	108406649
zamburak	108406649
zamburek	108406649
zamia	111622369
zamia family	111621938
zamia pumila	111622542
zamiaceae	111621938
zane grey	111036071
zangwill	111424867
zannichellia	112638711
zannichellia palustris	112638907
zannichelliaceae	112638500
zantac	104061107
zantedeschia	111814120
zantedeschia aethiopica	111814248
zantedeschia rehmanii	111814493
zanthoxylum	112735310
zanthoxylum americanum	112735709
zanthoxylum clava-herculis	112735955
zanthoxylum flavum	112736168
zanthoxylum fraxineum	112735709
zanuck	111424967
zany	110177319 110824717 301268218 302582052
zanzibar	109057933
zanzibar copal	114920169
zap	107494768 200322737 201135714 201327970 201772856
zapata	111425172
zapodidae	102353497
zapotec	106931898 109669077 303157402
zapotecan	106931898 109669077
zapper	104621440
zapus	102353864
zapus hudsonius	102353995
zaragoza	109050049
zarathustra	111427710
zarf	104621601
zaria	108997344
zarontin	103305523
zarpanit	109544783
zarqa	108947856
zauschneria californica	112363369
zayin	106850407
zb	113652973 113653148 113653306
zbit	113653306
zdv	102768434
zea	112164089
zea mays	112164193
zea mays amylacea	112165842
zea mays everta	112165994
zea mays indentata	112165504
zea mays indurata	112165665
zea mays rugosa	112165259
zea saccharata	112165259
zeal	104652076 107496925 107570967
zealand	108779530
zealander	109719413
zealot	110421831 110824878
zealotry	106216069
zealous	300889495
zealously	400499976
zeaxanthin	114745942
zebibit	113653468
zebibyte	113652973
zebra	102393701
zebra crossing	103910302
zebra finch	101547030
zebra mussel	101968170

zebra orchid	112069006
zebra-tailed lizard	101681298
zebrawood	111766286 111766529
zebrawood family	111766693
zebrawood tree	111766286
zebu	102407558
zechariah	106452865 111425315
zed	106846940
zee	106846940
zeeman	111425433
zeidae	101455274
zeitgeist	114550237
zellig harris	111051012
zellig sabbatai harris	111051012
zen	102678511 106252178 108115995
zen buddhism	106252178 108115995
zen buddhist	109703302
zenaidura	101816732
zenaidura macroura	101816858
zend	106986601
zend-avesta	106442666
zenith	108702507
zenithal	303143301
zeno	111425680 111425822
zeno of citium	111425680
zeno of elea	111425822
zeolite	115131434
zeomorphi	101455137
zep	107713570
zephaniah	106452333 111426019
zephyr	109596739 111451868
zeppelin	104621729 111426137
zeppo	111181218
zero	104621862 105864801 113762308 113764498 200298114 200298288 302193771 302209551 302276900 303157519
zero coupon bond	113362067
zero coupon security	113439996
zero hour	115254096
zero in	200298114 201155473
zero point	105864801
zero tolerance	106216311
zero-coupon bond	113362067
zero-coupon security	113439996
zero-sum game	100510717
zero-tolerance policy	106676053
zeroth	302209639
zeroth law of thermodynamics	105892080
zest	105000286 107507121 202197016
zestful	302288916
zestfully	400500115
zestfulness	107507121
zestily	400500115
zestril	103682634
zesty	302288916 302407127
zeta	106847724
zetland	108973830
zettabit	113653306
zettabyte	113652973 113653148
zeugma	107123492
zeus	101455595 109596860
zeus faber	101455728
zhou	108496418
zhou dynasty	108496418
zhou en-lai	111426310
zhu jiang	109506470
zhuang	106949156
zhukov	111426456
zib	113652973
zibit	113653468
zidovudine	102768434
ziegfeld	111426695
ziegfeld follies	107033235
ziegler	111426901
zig	113910012
zig-zag	302322131
zigadene	112487232
zigadenus	112486955
zigadenus elegans	112487523
zigadenus glaucus	112487702
zigadenus nuttalli	112487938
zigadenus venenosus	112488097
zigadenus venenosus gramineus	112488097
ziggurat	104622012
zigzag	113910012 201995776 302322131 400500266
zigzag goldenrod	112038999
zikkurat	104622012
zikurat	104622012
zilch	113762308
zill	104622201
zillion	113798632 302207588
zimbabwe	109189894
zimbabwean	109771226 303143418
zimbabwean dollar	113696765
zimbalist	111427043
zimmer	104552757
zimmer frame	104552757
zinacef	102993558
zinc	114686156 201618810
zinc blende	115132443
zinc cadmium sulfide	115120993
zinc deficiency	114224186
zinc ointment	104622375
zinc oxide	115132654
zinc sulfate	115132891
zinc sulfide	115133105
zinc sulphate	115132891
zinc sulphide	115133105
zinc vitriol	115132891
zinc white	115133312
zinfandel	107914308 113168163
zing	104642839 107415301
zinger	107297400
zingiber	112376111
zingiber officinale	112376540
zingiberaceae	112375837
zinjanthropus	102479818
zinkenite	115133464
zinnemann	111427170
zinnia	112054610
zinnia acerosa	112054853
zinnia grandiflora	112055063
zinnwaldite	115133583
zinsser	111427297
zinzendorf	111427460
zion	105639839 108810400 108814203
zion national park	108628367
zionism	106676208 108496213
zionist	110825105 303143572 303143735
zionist movement	108496213
zip	104245427 105043116 106367112 113762308 201356373 202059573
zip by	202057753
zip code	106367112
zip fastener	104245427
zip gun	104622506
zip up	201356373
ziphiidae	102070594
zipper	104245427 201356373
zippo	113762308
zippy	300808879 300877534
zirbanit	109544783
zircon	115133694
zirconia	115133958
zirconium	114686460
zirconium dioxide	115133958
zirconium oxide	115133958
zirconium silicate	115133694
zit	114357711
zither	104622583
zithern	104622583
zithromax	102768661
ziti	107716000
zizania	112166319
zizania aquatica	112166436
ziziphus	113163874
ziziphus jujuba	113164062
ziziphus lotus	113164260
zizz	100860420 107494939
zloty	113732882
zn	114686156
zoanthropy	114402422
zoarces	102620032
zoarces viviparus	102620167
zoarcidae	102619659
zocor	104229061
zodiac	104622813 108702926
zodiacal	303144228
zodiacal light	111548007
zoftig	300990165
zoic	302666826
zoisia	112166617
zola	111427586
zolaesque	303050518
zollinger-ellison syndrome	114494638
zoloft	104181914
zomba	108983017
zombi	107935405 109844921 110825242 110825387 110825536
zombi spirit	110825536
zombie	107935405 109844921 110825242 110825387 110825536
zombie spirit	110825536
zona	105618817
zona pellucida	105616370
zonal	302600228 303143853
zonal pelargonium	112708459
zonary	303143853
zone	105618817 108526463 108559404 108705985 200333645 202517816
zone fire	100997075
